buffer,resolution,realised_deg,signal,n_cells,freq,variant,period,lag,lag_kind,n,block,r,p_naive,n_eff_first,p_eff_first,n_eff_nw,p_eff_nw,boot_lo,boot_hi,p_perm,p_fdr,fdr_reject,verdict
0.1,native,0.0546,footprint,435,ME,stl,12,6,peak,84,4,0.2258,0.038911502076542565,64.2,0.07235883442490273,59.7,0.08358346378264778,-0.2063,0.5185,0.1279744051189762,0.26564384092878396,False,fragile (naive-only)
0.1,0.1,0.1091,footprint,72,W,level,52,0,lag0,377,7,-0.0293,0.5708378913756413,326.4,0.5980755256980455,310.8,0.6070371040988818,-0.1376,0.0648,0.6250749850029994,0.9961690201642212,False,ns
0.1,0.1,0.1091,footprint,72,W,level,52,-8,peak,369,7,-0.0462,0.37646194345484046,290.5,0.4330438777546762,283.5,0.4386512717113688,-0.163,0.0504,0.4433113377324535,0.5748610277944411,False,ns
0.1,0.1,0.1091,footprint,72,W,intensity-model,52,0,lag0,377,7,0.0267,0.6051476524498156,329.0,0.6292732278608761,316.0,0.6362102700984634,-0.0766,0.1135,0.6516696660667867,0.9961690201642212,False,ns
0.1,0.1,0.1091,footprint,72,W,intensity-model,52,-2,peak,375,7,0.0587,0.25709173676236846,323.4,0.292892950490421,313.1,0.3007449905098733,-0.0361,0.145,0.28734253149370126,0.42767260501388094,False,ns
0.1,0.1,0.1091,footprint,72,W,yoy,52,0,lag0,325,7,-0.0161,0.7727399263654535,244.4,0.8025141188533842,240.0,0.804276867294693,-0.1672,0.1323,0.7920415916816637,0.9961690201642212,False,ns
0.1,0.1,0.1091,footprint,72,W,yoy,52,7,peak,318,7,-0.0343,0.5427787348864141,239.1,0.598184024818596,234.9,0.601438995430278,-0.2217,0.1437,0.5760847830433913,0.6056755861942367,False,ns
0.1,0.1,0.1091,footprint,72,W,stl,52,0,lag0,377,7,-0.0132,0.7977858466083503,312.1,0.8158000515419523,293.6,0.8212752620393292,-0.125,0.0864,0.8384323135372925,0.9961690201642212,False,ns
0.1,0.1,0.1091,footprint,72,W,stl,52,2,peak,375,7,-0.0206,0.690943452241358,310.4,0.7177456126790773,292.1,0.7259378538263965,-0.129,0.0803,0.7384523095380924,0.7384523095380924,False,ns
0.1,0.1,0.1091,footprint,72,ME,level,12,0,lag0,90,4,-0.0275,0.7966759986306942,71.7,0.8188242857036786,65.2,0.8273001920342503,-0.2963,0.171,0.8480303939212157,0.9961690201642212,False,ns
0.1,0.1,0.1091,footprint,72,ME,level,12,-5,peak,85,4,-0.2588,0.016764222569607485,66.4,0.03534304085094094,60.7,0.044618978403255544,-0.5226,0.0073,0.04859028194361128,0.1959608078384323,False,fragile (naive-only)
0.1,0.1,0.1091,footprint,72,ME,intensity-model,12,0,lag0,90,4,0.0696,0.5145265793767747,73.4,0.5573980585326748,66.9,0.576054483010976,-0.1823,0.2449,0.6212757448510298,0.9961690201642212,False,ns
0.1,0.1,0.1091,footprint,72,ME,intensity-model,12,6,peak,84,4,0.2723,0.012201964805002366,68.7,0.023899523778439707,63.5,0.030101166935848925,-0.1147,0.5306,0.04899020195960808,0.1959608078384323,False,fragile (naive-only)
0.1,0.1,0.1091,footprint,72,ME,yoy,12,0,lag0,78,4,-0.025,0.8277553083244393,58.5,0.8514155779719164,54.2,0.8570530601613277,-0.418,0.2724,0.8688262347530494,0.9961690201642212,False,ns
